protocol_id,task_name,beta,schedule,spatial_mode,duration_s,current_uA,pulse_width_us,total_pulses,baseline_score,trained_score,training_score_delta,training_repetitions,initial_trials_to_criterion,initial_trials_for_savings,training_reached_criterion,reset_score,no_reset_score,reset_minus_no_reset_score,forgetting_score,criterion_score,score_drop,criterion_forget,made_forget,naive_weight_control_score,naive_weight_control_minus_trained_score,naive_weight_control_minus_no_reset_score,naive_weight_control_displacement_norm,trained_delta_norm,reset_post_minus_trained_norm,no_reset_post_minus_trained_norm,reset_minus_no_reset_weight_norm,weight_erasure_reset,weight_erasure_no_reset,residual_trace_correlation_reset,residual_trace_correlation_no_reset,erasure_projection_reset_vs_no_reset,reset_window_neuron_spikes_delta,consolidation_neuron_spikes,relearn_trials,relearn_measured,relearn_score,relearn_reached_criterion,relearn_savings,relearn_elapsed_s,replicates,task_output_dir
b2_gated_burst_correlated_3s_50uA,conditioned_electrode_association,2.0,gated_burst,correlated,3.0,50.0,160,628.22,0.0,1.0,1.0,60.0,20.4,20.4,1.0,1.0,1.0,0.0,0.0,0.4,0.0,0.0,0.0,0.0,-1.0,-1.0,53.92837055684591,53.92837055684591,62.14400962038541,0.0,62.14400962038541,-0.5839431938537115,1.8572408055916867e-11,0.6870624059937329,1.0,-0.0835349882428914,339348.92,0.0,0.0,1.0,1.0,1.0,1.0,0.2054147440996894,50,experiments/snn_reset/results/snn_reset_relearning_n50_20260618T233516Z/conditioned_electrode_association
b-2_gated_burst_correlated_3s_50uA,conditioned_electrode_association,-2.0,gated_burst,correlated,3.0,50.0,160,617.44,0.0,1.0,1.0,60.0,20.4,20.4,1.0,1.0,1.0,0.0,0.0,0.4,0.0,0.0,0.0,0.0,-1.0,-1.0,53.92837055684591,53.92837055684591,61.91261216752024,0.0,61.91261216752024,-0.5779859758858548,1.8572408055916867e-11,0.6861544857540757,1.0,-0.077820341872286,335464.58,0.0,0.0,1.0,1.0,1.0,1.0,0.205675542539393,50,experiments/snn_reset/results/snn_reset_relearning_n50_20260618T233516Z/conditioned_electrode_association
b0_gated_burst_correlated_3s_50uA,conditioned_electrode_association,0.0,gated_burst,correlated,3.0,50.0,160,612.88,0.0,1.0,1.0,60.0,20.4,20.4,1.0,1.0,1.0,0.0,0.0,0.4,0.0,0.0,0.0,0.0,-1.0,-1.0,53.92837055684591,53.92837055684591,60.194051547764104,0.0,60.194051547764104,-0.555216304557757,1.8572408055916867e-11,0.6968844620925316,1.0,-0.0783764118626701,329990.34,0.0,0.0,1.0,1.0,1.0,1.0,0.2044836300004681,50,experiments/snn_reset/results/snn_reset_relearning_n50_20260618T233516Z/conditioned_electrode_association
b2_static_correlated_3s_50uA,conditioned_electrode_association,2.0,static,correlated,3.0,50.0,160,399.3,0.0,1.0,1.0,60.0,20.4,20.4,1.0,1.0,1.0,0.0,0.0,0.4,0.0,0.0,0.0,0.0,-1.0,-1.0,53.92837055684591,53.92837055684591,23.779138446178525,0.0,23.779138446178525,-0.1232351160144583,1.8572408055916867e-11,0.91944000712242,1.0,-0.03257383132453,98358.14,0.0,0.0,1.0,1.0,1.0,1.0,0.2052735950596979,50,experiments/snn_reset/results/snn_reset_relearning_n50_20260618T233516Z/conditioned_electrode_association
b2_gated_burst_shared_3s_10uA,conditioned_electrode_association,2.0,gated_burst,shared,3.0,10.0,160,1088.92,0.0,1.0,1.0,60.0,20.4,20.4,1.0,1.0,1.0,0.0,0.0,0.4,0.0,0.0,0.0,0.0,-1.0,-1.0,53.92837055684591,53.92837055684591,13.254239375298848,0.0,13.254239375298848,-0.0388481184798391,1.8572408055916867e-11,0.9712841564280628,1.0,-0.0086202487581659,40149.38,0.0,0.0,1.0,1.0,1.0,1.0,0.2043732174798788,50,experiments/snn_reset/results/snn_reset_relearning_n50_20260618T233516Z/conditioned_electrode_association
b0_gated_burst_shared_3s_10uA,conditioned_electrode_association,0.0,gated_burst,shared,3.0,10.0,160,1062.96,0.0,1.0,1.0,60.0,20.4,20.4,1.0,1.0,1.0,0.0,0.0,0.4,0.0,0.0,0.0,0.0,-1.0,-1.0,53.92837055684591,53.92837055684591,4.553158861073406,0.0,4.553158861073406,-0.0065498415306797,1.8572408055916867e-11,0.9958971047238068,1.0,-0.0024238281770809,6971.58,0.0,0.0,1.0,1.0,1.0,1.0,0.2047906700400926,50,experiments/snn_reset/results/snn_reset_relearning_n50_20260618T233516Z/conditioned_electrode_association
b-2_gated_burst_shared_3s_10uA,conditioned_electrode_association,-2.0,gated_burst,shared,3.0,10.0,160,1061.26,0.0,1.0,1.0,60.0,20.4,20.4,1.0,1.0,1.0,0.0,0.0,0.4,0.0,0.0,0.0,0.0,-1.0,-1.0,53.92837055684591,53.92837055684591,4.109073890035218,0.0,4.109073890035218,-0.0058172092862697,1.8572408055916867e-11,0.9964777643277626,1.0,-0.002271407573567,6300.38,0.0,0.0,1.0,1.0,1.0,1.0,0.2055261266198067,50,experiments/snn_reset/results/snn_reset_relearning_n50_20260618T233516Z/conditioned_electrode_association
b2_gated_burst_correlated_3s_10uA,conditioned_electrode_association,2.0,gated_burst,correlated,3.0,10.0,160,628.22,0.0,1.0,1.0,60.0,20.4,20.4,1.0,1.0,1.0,0.0,0.0,0.4,0.0,0.0,0.0,0.0,-1.0,-1.0,53.92837055684591,53.92837055684591,3.867919503376936,0.0,3.867919503376936,-0.0036461939285948,1.8572408055916867e-11,0.9970501254202206,1.0,-0.000689040385883,4687.56,0.0,0.0,1.0,1.0,1.0,1.0,0.2037876824794511,50,experiments/snn_reset/results/snn_reset_relearning_n50_20260618T233516Z/conditioned_electrode_association
b2_chirp_correlated_3s_10uA,conditioned_electrode_association,2.0,chirp,correlated,3.0,10.0,160,1015.54,0.0,1.0,1.0,60.0,20.4,20.4,1.0,1.0,1.0,0.0,0.0,0.4,0.0,0.0,0.0,0.0,-1.0,-1.0,53.92837055684591,53.92837055684591,1.4979597891131708,0.0,1.4979597891131708,-0.0010870844635222,1.8572408055916867e-11,0.9994585073074064,1.0,-0.000546923826019,1073.16,0.0,0.0,1.0,1.0,1.0,1.0,0.2053314666997175,50,experiments/snn_reset/results/snn_reset_relearning_n50_20260618T233516Z/conditioned_electrode_association
b0_chirp_correlated_3s_10uA,conditioned_electrode_association,0.0,chirp,correlated,3.0,10.0,160,1507.12,0.0,1.0,1.0,60.0,20.4,20.4,1.0,1.0,1.0,0.0,0.0,0.4,0.0,0.0,0.0,0.0,-1.0,-1.0,53.92837055684591,53.92837055684591,1.0726371741604648,0.0,1.0726371741604648,-0.0006013083676169,1.8572408055916867e-11,0.9997169104840812,1.0,-0.0003192230344726,682.52,0.0,0.0,1.0,1.0,1.0,1.0,0.2045609325800615,50,experiments/snn_reset/results/snn_reset_relearning_n50_20260618T233516Z/conditioned_electrode_association
