protocol_id,seed,beta,schedule,spatial_mode,duration_s,current_uA,pulse_width_us,total_pulses,initial_trials,relearn_trials,weight_erasure,residual_performance,savings,criticality_distance,trace_auc_proxy,health,energy_cost,firing_rate_hz,active_channel_fraction,branching_ratio,path_erasure,residual_trace_correlation,job_elapsed_s
b2_alternating_blue_red_shared_3s_1.6uA,4,2.0,alternating_blue_red,shared,3.0,1.6,160,893,48,64,-1.210006800945031,0.375,-0.3333333333055557,0.03950037577733568,0.5291209903253203,0.09928550623830959,0.45721599999999996,19.020833333333332,1.0,1.0868397390697764,-1.21011318946463,0.9999828555476095,21.18611804099055
b2_alternating_blue_red_shared_3s_2.6uA,1,2.0,alternating_blue_red,shared,3.0,2.6,160,924,16,16,-3.1772387082042206,0.25,6.250000517127319e-11,0.05425183531361418,0.5399018331295011,0.10058848492177272,0.768768,18.53125,1.0,1.0900890449246883,-3.1770903763161655,0.9999012892645086,11.308557249984005
b2_alternating_blue_red_shared_3s_2.6uA,3,2.0,alternating_blue_red,shared,3.0,2.6,160,939,48,96,-1.2101533788339753,0.75,-0.9999999999583336,0.039521741816360124,0.5284972248114121,0.09890706842918369,0.7812479999999999,19.166666666666668,1.0,1.1048119034480641,-1.209915293686611,0.9999836529884484,25.31073304201709
b2_alternating_blue_red_shared_3s_2.6uA,4,2.0,alternating_blue_red,shared,3.0,2.6,160,893,48,64,-1.210006800945031,0.375,-0.3333333333055557,0.03950037577733568,0.5291209903253203,0.09928550623830959,0.742976,19.020833333333332,1.0,1.0868397390697764,-1.21011318946463,0.9999828555476095,21.393714792007813
b2_epoch_pause_correlated_0.75s_0.8uA,1,2.0,epoch_pause,correlated,0.75,0.8,160,95,16,56,-0.7451153121457621,0.5,-2.49999999978125,0.03528683341290349,0.5255840163211998,0.0976416807532023,0.024319999999999998,19.666666666666668,1.0,1.111311642166441,-0.7451323700117405,0.9999428445471674,12.57838766698842
b2_epoch_pause_correlated_0.75s_0.8uA,3,2.0,epoch_pause,correlated,0.75,0.8,160,48,48,96,-0.283005806629385,0.375,-0.9999999999583336,0.04815058963879497,0.5355013260517754,0.10191473021495288,0.012288,18.052083333333332,1.0,1.1232067857628873,-0.28295140989844847,0.9999929873148385,20.924383457982913
b2_epoch_pause_correlated_0.75s_0.8uA,4,2.0,epoch_pause,correlated,0.75,0.8,160,77,48,80,-0.2836788897920244,0.625,-0.6666666666319445,0.04200739149777501,0.5308772614158093,0.09917693813473065,0.019712,19.0625,1.0,1.1047642461903167,-0.28366131155995067,0.9999939286387561,19.087531833007233
b2_epoch_pause_correlated_0.75s_1.6uA,1,2.0,epoch_pause,correlated,0.75,1.6,160,95,16,56,-0.7451153121457621,0.5,-2.49999999978125,0.03528683341290349,0.5255840163211998,0.0976416807532023,0.048639999999999996,19.666666666666668,1.0,1.111311642166441,-0.7451323700117405,0.9999428445471674,12.598147958982736
b2_epoch_pause_correlated_0.75s_1.6uA,3,2.0,epoch_pause,correlated,0.75,1.6,160,48,48,96,-0.283005806629385,0.375,-0.9999999999583336,0.04815058963879497,0.5355013260517754,0.10191473021495288,0.024576,18.052083333333332,1.0,1.1232067857628873,-0.28295140989844847,0.9999929873148385,21.111099083005683
b2_epoch_pause_correlated_0.75s_1.6uA,4,2.0,epoch_pause,correlated,0.75,1.6,160,77,48,80,-0.2836788897920244,0.625,-0.6666666666319445,0.04200739149777501,0.5308772614158093,0.09917693813473065,0.039424,19.0625,1.0,1.1047642461903167,-0.28366131155995067,0.9999939286387561,19.007977541012224
b2_epoch_pause_correlated_0.75s_2.6uA,1,2.0,epoch_pause,correlated,0.75,2.6,160,95,16,56,-0.7451153121457621,0.5,-2.49999999978125,0.03528683341290349,0.5255840163211998,0.0976416807532023,0.07904,19.666666666666668,1.0,1.111311642166441,-0.7451323700117405,0.9999428445471674,12.337777292006649
b2_epoch_pause_correlated_0.75s_2.6uA,3,2.0,epoch_pause,correlated,0.75,2.6,160,48,48,96,-0.283005806629385,0.375,-0.9999999999583336,0.04815058963879497,0.5355013260517754,0.10191473021495288,0.039936,18.052083333333332,1.0,1.1232067857628873,-0.28295140989844847,0.9999929873148385,20.888484583003446
b2_epoch_pause_correlated_0.75s_2.6uA,4,2.0,epoch_pause,correlated,0.75,2.6,160,77,48,80,-0.2836788897920244,0.625,-0.6666666666319445,0.04200739149777501,0.5308772614158093,0.09917693813473065,0.064064,19.0625,1.0,1.1047642461903167,-0.28366131155995067,0.9999939286387561,18.996740124974167
