seed,block,condition,replicate,score,task_accuracy,criterion_score,criterion_accuracy,positive_response_probability,negative_response_probability,effective_distance_from_trained,effective_distance_fraction_of_axis,collapsed_by_score,control_family,edges_touched,edges_touched_fraction,edges_silenced,edges_silenced_fraction,path_edges,path_edge_fraction,path_ablation_distance,ablation_match_error
3,ablation,random_edge_count_matched_ablation,6,0.5625,0.78125,0.4,0.7,0.5625,0.0,6.271222473967782,0.20983630825281935,False,random_control,628,0.0009813634701512362,628,0.0009813634701512362,628,0.0009813634701512362,10.350818676646448,4.079596202678665
3,ablation,random_magnitude_matched_ablation,6,0.5625,0.78125,0.4,0.7,0.5625,0.0,10.345492300113353,0.346162159024835,False,random_control,1748,0.0027315658372999378,1748,0.0027315658372999378,628,0.0009813634701512362,10.350818676646448,0.0053263765330946455
3,ablation,random_edge_count_matched_ablation,7,0.5625,0.78125,0.4,0.7,0.5625,0.0,6.381211757796332,0.21351657081115782,False,random_control,628,0.0009813634701512362,628,0.0009813634701512362,628,0.0009813634701512362,10.350818676646448,3.9696069188501157
3,ablation,random_magnitude_matched_ablation,7,0.5625,0.78125,0.4,0.7,0.5625,0.0,10.348967226648819,0.34627843073400794,False,random_control,1719,0.002686248097436266,1719,0.002686248097436266,628,0.0009813634701512362,10.350818676646448,0.0018514499976287624
3,ablation,random_edge_count_matched_ablation,8,0.5625,0.78125,0.4,0.7,0.5625,0.0,6.17393014066239,0.20658088809720343,False,random_control,628,0.0009813634701512362,628,0.0009813634701512362,628,0.0009813634701512362,10.350818676646448,4.176888535984058
3,ablation,random_magnitude_matched_ablation,8,0.5625,0.78125,0.4,0.7,0.5625,0.0,10.356100716238565,0.34651711866553736,False,random_control,1748,0.0027315658372999378,1748,0.0027315658372999378,628,0.0009813634701512362,10.350818676646448,0.005282039592117371
3,ablation,random_edge_count_matched_ablation,9,0.625,0.8125,0.4,0.7,0.625,0.0,6.385644643746224,0.2136648960262961,False,random_control,628,0.0009813634701512362,628,0.0009813634701512362,628,0.0009813634701512362,10.350818676646448,3.965174032900223
3,ablation,random_magnitude_matched_ablation,9,0.5625,0.78125,0.4,0.7,0.5625,0.0,10.35202683965264,0.34638080597265863,False,random_control,1615,0.0025237293062010295,1615,0.0025237293062010295,628,0.0009813634701512362,10.350818676646448,0.0012081630061917537
3,ablation,random_edge_count_matched_ablation,10,0.5625,0.78125,0.4,0.7,0.5625,0.0,6.337471186215136,0.21205300288647227,False,random_control,628,0.0009813634701512362,628,0.0009813634701512362,628,0.0009813634701512362,10.350818676646448,4.013347490431312
3,ablation,random_magnitude_matched_ablation,10,0.5625,0.78125,0.4,0.7,0.5625,0.0,10.3529338115228,0.3464111534256016,False,random_control,1631,0.0025487321971602965,1631,0.0025487321971602965,628,0.0009813634701512362,10.350818676646448,0.002115134876351732
3,ablation,random_edge_count_matched_ablation,11,0.5625,0.78125,0.4,0.7,0.5625,0.0,6.219114303512047,0.20809275886294704,False,random_control,628,0.0009813634701512362,628,0.0009813634701512362,628,0.0009813634701512362,10.350818676646448,4.131704373134401
3,ablation,random_magnitude_matched_ablation,11,0.5625,0.78125,0.4,0.7,0.5625,0.0,10.350280359535304,0.346322368412553,False,random_control,1686,0.0026346796348327775,1686,0.0026346796348327775,628,0.0009813634701512362,10.350818676646448,0.0005383171111432716
3,ablation,random_edge_count_matched_ablation,12,0.5625,0.78125,0.4,0.7,0.5625,0.0,6.282701925884752,0.21022041291838048,False,random_control,628,0.0009813634701512362,628,0.0009813634701512362,628,0.0009813634701512362,10.350818676646448,4.068116750761695
3,ablation,random_magnitude_matched_ablation,12,0.6875,0.84375,0.4,0.7,0.6875,0.0,10.352082193947655,0.3463826581379997,False,random_control,1742,0.0027221897531902127,1742,0.0027221897531902127,628,0.0009813634701512362,10.350818676646448,0.0012635173012078837
3,ablation,random_edge_count_matched_ablation,13,0.5625,0.78125,0.4,0.7,0.5625,0.0,6.5014185783294955,0.2175387141097242,False,random_control,628,0.0009813634701512362,628,0.0009813634701512362,628,0.0009813634701512362,10.350818676646448,3.849400098316952
3,ablation,random_magnitude_matched_ablation,13,0.5625,0.78125,0.4,0.7,0.5625,0.0,10.35046462648938,0.34632853402022146,False,random_control,1785,0.0027893850226432433,1785,0.0027893850226432433,628,0.0009813634701512362,10.350818676646448,0.0003540501570675758
3,ablation,random_edge_count_matched_ablation,14,0.5625,0.78125,0.4,0.7,0.5625,0.0,6.175271884818442,0.20662578311432242,False,random_control,628,0.0009813634701512362,628,0.0009813634701512362,628,0.0009813634701512362,10.350818676646448,4.175546791828006
3,ablation,random_magnitude_matched_ablation,14,0.5625,0.78125,0.4,0.7,0.5625,0.0,10.34931486999688,0.3462900629471926,False,random_control,1658,0.00259092457565406,1658,0.00259092457565406,628,0.0009813634701512362,10.350818676646448,0.0015038066495680624
3,ablation,random_edge_count_matched_ablation,15,0.5625,0.78125,0.4,0.7,0.5625,0.0,6.411368226779128,0.21452561205432186,False,random_control,628,0.0009813634701512362,628,0.0009813634701512362,628,0.0009813634701512362,10.350818676646448,3.9394504498673193
3,ablation,random_magnitude_matched_ablation,15,0.5625,0.78125,0.4,0.7,0.5625,0.0,10.350200796656257,0.3463197062233414,False,random_control,1708,0.00266905860990177,1708,0.00266905860990177,628,0.0009813634701512362,10.350818676646448,0.0006178799901910281
3,ablation,random_edge_count_matched_ablation,16,0.5625,0.78125,0.4,0.7,0.5625,0.0,6.236544577153177,0.2086759791661453,False,random_control,628,0.0009813634701512362,628,0.0009813634701512362,628,0.0009813634701512362,10.350818676646448,4.1142740994932705
3,ablation,random_magnitude_matched_ablation,16,0.5625,0.78125,0.4,0.7,0.5625,0.0,10.354178700385255,0.34645280764599756,False,random_control,1694,0.002647181080312411,1694,0.002647181080312411,628,0.0009813634701512362,10.350818676646448,0.003360023738807172
3,ablation,random_edge_count_matched_ablation,17,0.5625,0.78125,0.4,0.7,0.5625,0.0,6.442029236552105,0.21555153532921317,False,random_control,628,0.0009813634701512362,628,0.0009813634701512362,628,0.0009813634701512362,10.350818676646448,3.908789440094343
3,ablation,random_magnitude_matched_ablation,17,0.5625,0.78125,0.4,0.7,0.5625,0.0,10.350385339106127,0.34632588104915213,False,random_control,1699,0.002654994483737182,1699,0.002654994483737182,628,0.0009813634701512362,10.350818676646448,0.0004333375403202666
3,ablation,random_edge_count_matched_ablation,18,0.5625,0.78125,0.4,0.7,0.5625,0.0,6.308759631285888,0.21109230874500937,False,random_control,628,0.0009813634701512362,628,0.0009813634701512362,628,0.0009813634701512362,10.350818676646448,4.04205904536056
3,ablation,random_magnitude_matched_ablation,18,0.5625,0.78125,0.4,0.7,0.5625,0.0,10.350402907575475,0.3463264688935102,False,random_control,1716,0.0026815600553814034,1716,0.0026815600553814034,628,0.0009813634701512362,10.350818676646448,0.0004157690709725159
3,ablation,random_edge_count_matched_ablation,19,0.5625,0.78125,0.4,0.7,0.5625,0.0,6.099972249478345,0.20410624285592163,False,random_control,628,0.0009813634701512362,628,0.0009813634701512362,628,0.0009813634701512362,10.350818676646448,4.250846427168103
3,ablation,random_magnitude_matched_ablation,19,0.5625,0.78125,0.4,0.7,0.5625,0.0,10.3504788302312,0.3463290092801503,False,random_control,1648,0.002575297768804518,1648,0.002575297768804518,628,0.0009813634701512362,10.350818676646448,0.00033984641524753556
3,ablation,random_edge_count_matched_ablation,20,0.5625,0.78125,0.4,0.7,0.5625,0.0,6.235685794996556,0.2086472441502713,False,random_control,628,0.0009813634701512362,628,0.0009813634701512362,628,0.0009813634701512362,10.350818676646448,4.115132881649892
3,ablation,random_magnitude_matched_ablation,20,0.5625,0.78125,0.4,0.7,0.5625,0.0,10.350199902742112,0.34631967631280247,False,random_control,1670,0.0026096767438735105,1670,0.0026096767438735105,628,0.0009813634701512362,10.350818676646448,0.0006187739043355123
3,ablation,random_edge_count_matched_ablation,21,0.5625,0.78125,0.4,0.7,0.5625,0.0,6.223623245642812,0.2082436289325025,False,random_control,628,0.0009813634701512362,628,0.0009813634701512362,628,0.0009813634701512362,10.350818676646448,4.127195431003636
3,ablation,random_magnitude_matched_ablation,21,0.6875,0.84375,0.4,0.7,0.6875,0.0,10.351063604461933,0.34634857593820584,False,random_control,1676,0.0026190528279832355,1676,0.0026190528279832355,628,0.0009813634701512362,10.350818676646448,0.0002449278154852408
3,ablation,random_edge_count_matched_ablation,22,0.5625,0.78125,0.4,0.7,0.5625,0.0,6.49990709481337,0.21748813958102178,False,random_control,628,0.0009813634701512362,628,0.0009813634701512362,628,0.0009813634701512362,10.350818676646448,3.8509115818330777
3,ablation,random_magnitude_matched_ablation,22,0.5625,0.78125,0.4,0.7,0.5625,0.0,10.34960681077428,0.3462998313416663,False,random_control,1786,0.002790947703328197,1786,0.002790947703328197,628,0.0009813634701512362,10.350818676646448,0.0012118658721682607
3,ablation,random_edge_count_matched_ablation,23,0.5625,0.78125,0.4,0.7,0.5625,0.0,6.2852817303359565,0.21030673367072214,False,random_control,628,0.0009813634701512362,628,0.0009813634701512362,628,0.0009813634701512362,10.350818676646448,4.065536946310491
3,ablation,random_magnitude_matched_ablation,23,0.5625,0.78125,0.4,0.7,0.5625,0.0,10.351783991110796,0.34637268021381395,False,random_control,1648,0.002575297768804518,1648,0.002575297768804518,628,0.0009813634701512362,10.350818676646448,0.0009653144643486655
3,ablation,random_edge_count_matched_ablation,24,0.5625,0.78125,0.4,0.7,0.5625,0.0,6.349061177528358,0.21244080622145908,False,random_control,628,0.0009813634701512362,628,0.0009813634701512362,628,0.0009813634701512362,10.350818676646448,4.0017574991180895
3,ablation,random_magnitude_matched_ablation,24,0.5625,0.78125,0.4,0.7,0.5625,0.0,10.350516593600126,0.34633027284972634,False,random_control,1707,0.0026674959292168157,1707,0.0026674959292168157,628,0.0009813634701512362,10.350818676646448,0.0003020830463213997
3,ablation,random_edge_count_matched_ablation,25,0.5625,0.78125,0.4,0.7,0.5625,0.0,6.379079613471454,0.213445228852608,False,random_control,628,0.0009813634701512362,628,0.0009813634701512362,628,0.0009813634701512362,10.350818676646448,3.9717390631749936
3,ablation,random_magnitude_matched_ablation,25,0.5625,0.78125,0.4,0.7,0.5625,0.0,10.350437791666694,0.34632763612190126,False,random_control,1654,0.002584673852914243,1654,0.002584673852914243,628,0.0009813634701512362,10.350818676646448,0.00038088497975330426
3,ablation,random_edge_count_matched_ablation,26,0.5625,0.78125,0.4,0.7,0.5625,0.0,6.393114398005297,0.2139148354382347,False,random_control,628,0.0009813634701512362,628,0.0009813634701512362,628,0.0009813634701512362,10.350818676646448,3.9577042786411507
3,ablation,random_magnitude_matched_ablation,26,0.5625,0.78125,0.4,0.7,0.5625,0.0,10.350975328457768,0.34634562220615467,False,random_control,1700,0.0026565571644221364,1700,0.0026565571644221364,628,0.0009813634701512362,10.350818676646448,0.00015665181132007433
3,ablation,random_edge_count_matched_ablation,27,0.5625,0.78125,0.4,0.7,0.5625,0.0,6.187743113058809,0.20704307280611692,False,random_control,628,0.0009813634701512362,628,0.0009813634701512362,628,0.0009813634701512362,10.350818676646448,4.163075563587639
3,ablation,random_magnitude_matched_ablation,27,0.5625,0.78125,0.4,0.7,0.5625,0.0,10.35153828653435,0.34636445889150297,False,random_control,1717,0.0026831227360663576,1717,0.0026831227360663576,628,0.0009813634701512362,10.350818676646448,0.0007196098879020951
3,ablation,random_edge_count_matched_ablation,28,0.5625,0.78125,0.4,0.7,0.5625,0.0,6.27442608797314,0.20994350179263424,False,random_control,628,0.0009813634701512362,628,0.0009813634701512362,628,0.0009813634701512362,10.350818676646448,4.076392588673308
3,ablation,random_magnitude_matched_ablation,28,0.5625,0.78125,0.4,0.7,0.5625,0.0,10.35179364260141,0.3463730031545432,False,random_control,1721,0.0026893734588061746,1721,0.0026893734588061746,628,0.0009813634701512362,10.350818676646448,0.0009749659549616041
3,ablation,random_edge_count_matched_ablation,29,0.5625,0.78125,0.4,0.7,0.5625,0.0,6.341897821903582,0.21220111896666233,False,random_control,628,0.0009813634701512362,628,0.0009813634701512362,628,0.0009813634701512362,10.350818676646448,4.008920854742866
3,ablation,random_magnitude_matched_ablation,29,0.5625,0.78125,0.4,0.7,0.5625,0.0,10.345421326227626,0.3461597842249894,False,random_control,1693,0.0026456183996274567,1693,0.0026456183996274567,628,0.0009813634701512362,10.350818676646448,0.0053973504188213894
3,ablation,random_edge_count_matched_ablation,30,0.5625,0.78125,0.4,0.7,0.5625,0.0,6.34322554988544,0.2122455449999012,False,random_control,628,0.0009813634701512362,628,0.0009813634701512362,628,0.0009813634701512362,10.350818676646448,4.007593126761008
3,ablation,random_magnitude_matched_ablation,30,0.5625,0.78125,0.4,0.7,0.5625,0.0,10.35216701934801,0.34638549641218475,False,random_control,1648,0.002575297768804518,1648,0.002575297768804518,628,0.0009813634701512362,10.350818676646448,0.0013483427015632543
3,ablation,random_edge_count_matched_ablation,31,0.5625,0.78125,0.4,0.7,0.5625,0.0,6.432498133685286,0.215232622797015,False,random_control,628,0.0009813634701512362,628,0.0009813634701512362,628,0.0009813634701512362,10.350818676646448,3.918320542961162
3,ablation,random_magnitude_matched_ablation,31,0.5625,0.78125,0.4,0.7,0.5625,0.0,10.351600196831804,0.3463665304219445,False,random_control,1682,0.0026284289120929605,1682,0.0026284289120929605,628,0.0009813634701512362,10.350818676646448,0.0007815201853560438
4,ablation,trained,0,0.6875,0.84375,0.4,0.7,0.6875,0.0,0.0,0.0,False,reference,0,0.0,0,0.0,686,0.0010719754977029097,8.580048257482101,
4,ablation,full_naive_reset,0,0.0,0.5,0.4,0.7,0.0,0.0,17.68772581012309,1.0,True,full_reset,17189,0.026860330655999,0,0.0,686,0.0010719754977029097,8.580048257482101,
4,ablation,silence_candidate_input_to_target_pathway,0,0.0,0.5,0.4,0.7,0.0,0.0,8.580048257482101,0.4850848746519772,True,candidate_pathway,686,0.0010719754977029097,686,0.0010719754977029097,686,0.0010719754977029097,8.580048257482101,
4,ablation,random_edge_count_matched_ablation,0,0.6875,0.84375,0.4,0.7,0.6875,0.0,6.425103969261577,0.3632521240002682,False,random_control,686,0.0010719754977029097,686,0.0010719754977029097,686,0.0010719754977029097,8.580048257482101,2.1549442882205243
4,ablation,random_magnitude_matched_ablation,0,0.6875,0.84375,0.4,0.7,0.6875,0.0,8.58370771308804,0.48529176702724486,False,random_control,1191,0.0018611119792480545,1191,0.0018611119792480545,686,0.0010719754977029097,8.580048257482101,0.003659455605939499
4,ablation,random_edge_count_matched_ablation,1,0.6875,0.84375,0.4,0.7,0.6875,0.0,6.490241102530014,0.36693474176400337,False,random_control,686,0.0010719754977029097,686,0.0010719754977029097,686,0.0010719754977029097,8.580048257482101,2.089807154952087
4,ablation,random_magnitude_matched_ablation,1,0.625,0.8125,0.4,0.7,0.625,0.0,8.577372749571698,0.48493361111820665,False,random_control,1175,0.0018361096352783074,1175,0.0018361096352783074,686,0.0010719754977029097,8.580048257482101,0.0026755079104034962
4,ablation,random_edge_count_matched_ablation,2,0.6875,0.84375,0.4,0.7,0.6875,0.0,6.409908131968738,0.36239300635812666,False,random_control,686,0.0010719754977029097,686,0.0010719754977029097,686,0.0010719754977029097,8.580048257482101,2.170140125513363
