protocol_id,task_name,beta,schedule,spatial_mode,duration_s,current_uA,pulse_width_us,total_pulses,baseline_score,trained_score,training_score_delta,training_repetitions,training_reached_criterion,reset_score,no_reset_score,reset_minus_no_reset_score,naive_weight_control_score,naive_weight_control_minus_trained_score,naive_weight_control_minus_no_reset_score,naive_weight_control_displacement_norm,trained_delta_norm,reset_post_minus_trained_norm,no_reset_post_minus_trained_norm,reset_minus_no_reset_weight_norm,weight_erasure_reset,weight_erasure_no_reset,residual_trace_correlation_reset,residual_trace_correlation_no_reset,erasure_projection_reset_vs_no_reset,reset_window_neuron_spikes_delta,consolidation_neuron_spikes,replicates,task_output_dir
b2_gated_burst_shared_3s_10uA,conditioned_electrode_association,2.0,gated_burst,shared,3.0,10.0,160,1073.6666666666667,0.0,1.0,1.0,60.0,1.0,1.0,1.0,0.0,0.0,-1.0,-1.0,53.061915580420816,53.061915580420816,13.146629539626437,0.0,13.146629539626437,-0.0367086652066435,1.8857508147599827e-11,0.9712966023009691,1.0,-0.0065580027218352,43503.333333333336,0.0,3,experiments/snn_reset/results/snn_reset_validated_grid_20260606T043336Z/conditioned_electrode_association
b2_chirp_shared_3s_10uA,conditioned_electrode_association,2.0,chirp,shared,3.0,10.0,160,1738.0,0.0,1.0,1.0,60.0,1.0,1.0,1.0,0.0,0.0,-1.0,-1.0,53.061915580420816,53.061915580420816,7.682381859949378,0.0,7.682381859949378,-0.0138689898953991,1.8857508147599827e-11,0.9883423112861824,1.0,-0.0019322677549078,14074.333333333334,0.0,3,experiments/snn_reset/results/snn_reset_validated_grid_20260606T043336Z/conditioned_electrode_association
b0_chirp_shared_3s_10uA,conditioned_electrode_association,0.0,chirp,shared,3.0,10.0,160,2567.3333333333335,0.0,1.0,1.0,60.0,1.0,1.0,1.0,0.0,0.0,-1.0,-1.0,53.061915580420816,53.061915580420816,4.197681565998654,0.0,4.197681565998654,-0.0046664863955257,1.8857508147599827e-11,0.9967134007611436,1.0,-0.0013737446535186,6152.333333333333,0.0,3,experiments/snn_reset/results/snn_reset_validated_grid_20260606T043336Z/conditioned_electrode_association
b0_gated_burst_shared_3s_10uA,conditioned_electrode_association,0.0,gated_burst,shared,3.0,10.0,160,1018.0,0.0,1.0,1.0,60.0,1.0,1.0,1.0,0.0,0.0,-1.0,-1.0,53.061915580420816,53.061915580420816,3.851823987776777,0.0,3.851823987776777,-0.0029099905005369,1.8857508147599827e-11,0.9973634964050024,1.0,-0.0002759931652675,4868.666666666667,0.0,3,experiments/snn_reset/results/snn_reset_validated_grid_20260606T043336Z/conditioned_electrode_association
b-2_chirp_correlated_3s_10uA,conditioned_electrode_association,-2.0,chirp,correlated,3.0,10.0,160,2179.3333333333335,0.0,1.0,1.0,60.0,1.0,1.0,1.0,0.0,0.0,-1.0,-1.0,53.061915580420816,53.061915580420816,3.723531745573299,0.0,3.723531745573299,-0.0057134810529253,1.8857508147599827e-11,0.9974220297347088,1.0,-0.0031306872709494,5105.666666666667,0.0,3,experiments/snn_reset/results/snn_reset_validated_grid_20260606T043336Z/conditioned_electrode_association
b2_gated_burst_correlated_3s_10uA,conditioned_electrode_association,2.0,gated_burst,correlated,3.0,10.0,160,637.3333333333334,0.0,1.0,1.0,60.0,1.0,1.0,1.0,0.0,0.0,-1.0,-1.0,53.061915580420816,53.061915580420816,3.712976464262621,0.0,3.712976464262621,-0.0028332614942062,1.8857508147599827e-11,0.997287792761239,1.0,-0.000118339539526,4074.0,0.0,3,experiments/snn_reset/results/snn_reset_validated_grid_20260606T043336Z/conditioned_electrode_association
b-2_gated_burst_shared_3s_10uA,conditioned_electrode_association,-2.0,gated_burst,shared,3.0,10.0,160,1011.3333333333334,0.0,1.0,1.0,60.0,1.0,1.0,1.0,0.0,0.0,-1.0,-1.0,53.061915580420816,53.061915580420816,3.069214965437034,0.0,3.069214965437034,-0.0017333623760081,1.8857508147599827e-11,0.9983194856335436,1.0,-5.6995174973498424e-05,3651.3333333333335,0.0,3,experiments/snn_reset/results/snn_reset_validated_grid_20260606T043336Z/conditioned_electrode_association
b0_chirp_correlated_3s_10uA,conditioned_electrode_association,0.0,chirp,correlated,3.0,10.0,160,1495.3333333333333,0.0,1.0,1.0,60.0,1.0,1.0,1.0,0.0,0.0,-1.0,-1.0,53.061915580420816,53.061915580420816,1.3269355026590943,0.0,1.3269355026590943,-0.0009176475448292,1.8857508147599827e-11,0.9996597134228492,1.0,-0.0005785374008988,791.3333333333334,0.0,3,experiments/snn_reset/results/snn_reset_validated_grid_20260606T043336Z/conditioned_electrode_association
b2_chirp_correlated_3s_10uA,conditioned_electrode_association,2.0,chirp,correlated,3.0,10.0,160,986.3333333333334,0.0,1.0,1.0,60.0,1.0,1.0,1.0,0.0,0.0,-1.0,-1.0,53.061915580420816,53.061915580420816,1.2391662507029728,0.0,1.2391662507029728,-0.0005983356864361,1.8857508147599827e-11,0.99961094599437,1.0,-0.0002105363232204,978.3333333333334,0.0,3,experiments/snn_reset/results/snn_reset_validated_grid_20260606T043336Z/conditioned_electrode_association
b-2_gated_burst_correlated_3s_10uA,conditioned_electrode_association,-2.0,gated_burst,correlated,3.0,10.0,160,610.0,0.0,1.0,1.0,60.0,1.0,1.0,1.0,0.0,0.0,-1.0,-1.0,53.061915580420816,53.061915580420816,1.1949484981239538,0.0,1.1949484981239538,-0.000346056836057,1.8857508147599827e-11,0.9996703817497706,1.0,-1.769254094182583e-05,648.0,0.0,3,experiments/snn_reset/results/snn_reset_validated_grid_20260606T043336Z/conditioned_electrode_association
