task,task_label,seed,delta_norm,cosine_to_task_mean,angle_to_task_mean_deg,pc1,pc2,pc3,uncentered_pc1
multi_association_mapping,Multi-map,35,2.401658635061368,0.9498307585352675,18.22590146049517,-0.1780251870307679,-0.1566160379169692,0.00914234566786934,-2.2812187983093453
multi_association_mapping,Multi-map,36,2.5513625793456574,0.9260028761471102,22.17993072736602,-0.14694658598779783,-0.3161673723619431,-0.10738124186870043,-2.362789830487647
multi_association_mapping,Multi-map,37,2.456276873519812,0.9416574433217,19.668208392360736,0.01944236116055975,0.32190986867390264,0.18725956448987893,-2.312871599387776
multi_association_mapping,Multi-map,38,2.3586463476906085,0.9489561324125302,18.385451136860183,-0.3956859689144612,0.00794201141979234,-0.02661047757412985,-2.238029165017533
multi_association_mapping,Multi-map,39,2.3758191385969987,0.9066217931372297,24.9573951628701,0.09235126032872269,-0.4574672092241402,0.31241354122112874,-2.153145321968628
multi_association_mapping,Multi-map,40,2.1580791047329275,0.9307894529386025,21.441787489769215,-0.022453274628373373,-0.3266189625041956,0.3533884898678423,-2.007392985186161
multi_association_mapping,Multi-map,41,2.41110997001903,0.9168379356595087,23.531898429627212,0.4700487467341207,-0.1225878745015566,0.031324941277412546,-2.2104537349111144
multi_association_mapping,Multi-map,42,2.4017229077868785,0.9381670188523992,20.254025033778696,0.18773152634129917,-0.10431394888253884,-0.4297168789166439,-2.2536249452875423
multi_association_mapping,Multi-map,43,2.462434574566544,0.942971127282874,19.44334096841158,-0.03865272413754521,0.2433259831100045,-0.29244952357575243,-2.32260852047169
multi_association_mapping,Multi-map,44,2.3132239337132727,0.956180027005677,17.02442597515092,0.002395026635289684,0.057207832923081445,0.20227002232054964,-2.211829286704605
multi_association_mapping,Multi-map,45,2.4120680250343898,0.9312619729767658,21.367604241319327,-0.41401572027056965,0.31367905951793534,0.07060015367958597,-2.2468363725365155
multi_association_mapping,Multi-map,46,2.278391264048934,0.9496714019960202,18.255071680633836,0.09520869828431038,0.02958032304890123,0.23197284894515574,-2.16248528008348
multi_association_mapping,Multi-map,47,2.2125389941816556,0.9384652907336909,20.20460110902387,0.22198833857527242,0.23188274996360078,-0.09545502868922885,-2.07592134420866
multi_association_mapping,Multi-map,48,2.4334783176163586,0.9165228552431838,23.577073182088558,0.6289948226721869,-0.15521082152262747,-0.012615440422786905,-2.2299171721752935
multi_association_mapping,Multi-map,49,2.2122985123976844,0.9016811207177993,25.620069481991887,0.3214389225544296,-0.11049212487692932,0.2122491888315293,-1.9929031848087435
multi_association_mapping,Multi-map,50,2.5393664803482503,0.9461588603106887,18.8869944589238,-0.009312785931704069,0.30602338948292546,-0.06045948990764328,-2.403390999174725
overlapping_shared_input_association,Shared input,1,2.5364126520698638,0.8076612159966187,36.131948750522355,-0.5220849386922779,0.9932164825588905,-0.010774660095615191,-2.043080041387373
overlapping_shared_input_association,Shared input,2,2.3571304570376186,0.8440172903388385,32.433200957923944,-0.28098964048422564,-0.06482078839448345,0.4680156001342325,-1.9854505492585113
overlapping_shared_input_association,Shared input,3,2.522423754148923,0.9148236212300431,23.81930866378647,0.27601540861195345,-0.1735048298373839,0.07898589267557632,-2.3093482866362596
overlapping_shared_input_association,Shared input,4,2.5113927154328426,0.832207780970585,33.673797040110216,-0.4638796145621557,0.29255570313471063,-0.3789914642948725,-2.0880834573877762
overlapping_shared_input_association,Shared input,5,2.621446046589772,0.8855080183531062,27.68589682228559,0.3966520325226621,-0.10430947105347019,-0.34191756784689187,-2.324533712340001
overlapping_shared_input_association,Shared input,6,2.4667204758429353,0.9299866974557548,21.56725854268217,-0.22164549960058944,-0.32274969630324873,0.006234447280560566,-2.2930399496102347
overlapping_shared_input_association,Shared input,7,2.6568229114091837,0.8911082635893254,26.987157174403986,0.06246981351103266,0.39246617112709586,-0.4351544351572615,-2.3682457310595395
overlapping_shared_input_association,Shared input,8,2.764560683200719,0.8319029329033634,33.705285668725864,-0.17325470349557753,0.7266134696654257,0.7134252956911565,-2.296768757185683
overlapping_shared_input_association,Shared input,9,2.5646404534483183,0.8873392333993296,27.459222792056952,-0.34163343545265334,-0.33609629233387633,0.13469330256248363,-2.2749833924481417
overlapping_shared_input_association,Shared input,10,2.749199459075398,0.8957020406172261,26.401252444913666,0.31473892105664386,-0.5390911985861173,0.16876543020072726,-2.4652764054844907
overlapping_shared_input_association,Shared input,11,2.5501160483319696,0.8879541696958035,27.382716019431047,0.4755900459987493,-0.0521431621767888,0.33880709939692333,-2.2647521944368005
overlapping_shared_input_association,Shared input,12,2.7683154808154415,0.9063975343369247,24.9878298846683,0.059816344348181054,0.06619186707308722,-0.18778163684428217,-2.5101358946199412
overlapping_shared_input_association,Shared input,13,2.582386293303155,0.8595774786398602,30.73082473031771,-0.4252354250584603,-0.4294956494214006,0.21128251215912044,-2.2191076473835953
overlapping_shared_input_association,Shared input,14,2.386893168136168,0.8784447545856693,28.54467955026682,-0.3565064762222003,0.3840532992263562,0.37524596371422647,-2.0930543875366654
overlapping_shared_input_association,Shared input,15,2.713062146727714,0.8624951941051179,30.402091782248178,0.5865950298252067,-0.30836681405201427,0.301328286917028,-2.3429209593532256
overlapping_shared_input_association,Shared input,16,2.426510594072767,0.8835444884942408,27.927065663414297,-0.33429643525232255,-0.2607132654898343,0.0825400295464574,-2.14235867667584
overlapping_shared_input_association,Shared input,17,2.650308888833724,0.9081474113088792,24.749420071764884,-0.3589721150548921,-0.33143406020261795,-0.45023725448481916,-2.4069368206441197
overlapping_shared_input_association,Shared input,18,2.643862705144037,0.8777258532483809,28.63076042866328,0.22609041764836588,0.3828621405632973,0.24896310888925258,-2.3196192544801257
overlapping_shared_input_association,Shared input,19,2.7226603761994177,0.9112983883548765,24.31459963778591,0.6232764650359603,-0.39488553768179346,0.0018488090562922192,-2.4859445230175568
overlapping_shared_input_association,Shared input,20,2.411833326795066,0.8634616124777718,30.292496960743005,-0.573415973428085,0.08214458222837645,-0.31923186816596155,-2.0797818005440623
overlapping_shared_input_association,Shared input,21,2.5415648050350392,0.902306853758587,25.537030632072764,0.1056295945709768,0.04858499090019115,-0.08353357067238606,-2.2943631511842457
overlapping_shared_input_association,Shared input,22,2.6287331164496,0.8444078169101064,32.391456234723876,0.38876885558654256,0.7692584207996693,-0.2758275989136518,-2.2200954254318224
overlapping_shared_input_association,Shared input,23,2.7751748243278924,0.8754346284423615,28.903544439540127,0.6517255951559371,-0.1581124836622866,-0.03388867883811327,-2.4333031503151656
