task,task_label,component,variance_explained,cumulative_variance_explained,singular_value
multi_association_mapping,Multi-map,19,0.015015658767424188,0.8174619839142911,0.7758970666131682
multi_association_mapping,Multi-map,20,0.013962015313548952,0.83142399922784,0.748179784893006
multi_association_mapping,Multi-map,21,0.012967781302059361,0.8443917805298994,0.721048958066434
multi_association_mapping,Multi-map,22,0.012728262873633463,0.8571200434035329,0.7143589378192446
multi_association_mapping,Multi-map,23,0.011592898931300817,0.8687129423348336,0.6817543844259527
multi_association_mapping,Multi-map,24,0.011284903480002452,0.8799978458148361,0.6726371335165404
multi_association_mapping,Multi-map,25,0.009875179811622035,0.8898730256264581,0.6292227564153438
multi_association_mapping,Multi-map,26,0.0094531450899428,0.8993261707164009,0.6156304274176015
multi_association_mapping,Multi-map,27,0.009065527899996626,0.9083916986163975,0.6028766509184297
multi_association_mapping,Multi-map,28,0.008351333727071704,0.9167430323434692,0.57864184150367
multi_association_mapping,Multi-map,29,0.007321422778394665,0.9240644551218639,0.5417883445244233
multi_association_mapping,Multi-map,30,0.006857559278803757,0.9309220144006676,0.5243444795976323
multi_association_mapping,Multi-map,31,0.006560029039517567,0.9374820434401852,0.5128434294857636
multi_association_mapping,Multi-map,32,0.006147591624605654,0.943629635064791,0.4964601794430178
multi_association_mapping,Multi-map,33,0.005751182058567119,0.9493808171233582,0.48018708222202755
multi_association_mapping,Multi-map,34,0.005383750484317201,0.9547645676076754,0.46459483432280063
multi_association_mapping,Multi-map,35,0.005137184817517513,0.9599017524251928,0.4538313677330682
multi_association_mapping,Multi-map,36,0.004792078512510081,0.9646938309377029,0.43832261379913934
multi_association_mapping,Multi-map,37,0.004345751767595344,0.9690395827052982,0.41741146396139467
multi_association_mapping,Multi-map,38,0.004075264833962894,0.9731148475392611,0.40421258712144637
multi_association_mapping,Multi-map,39,0.0036938983758423418,0.9768087459151035,0.38483484316330324
multi_association_mapping,Multi-map,40,0.0034862788870224843,0.9802950248021259,0.37386342278856355
multi_association_mapping,Multi-map,41,0.0031262783117673816,0.9834213031138933,0.3540346209728973
multi_association_mapping,Multi-map,42,0.003055294014875306,0.9864765971287686,0.3499922433304424
multi_association_mapping,Multi-map,43,0.0026998350004409826,0.9891764321292096,0.3290035062988436
multi_association_mapping,Multi-map,44,0.0024176148734031855,0.9915940470026128,0.3113332277353448
multi_association_mapping,Multi-map,45,0.002180310697264896,0.9937743576998777,0.2956590026650507
multi_association_mapping,Multi-map,46,0.0018015550750409169,0.9955759127749185,0.26875446393856556
multi_association_mapping,Multi-map,47,0.0017815838376728412,0.9973574966125913,0.2672606663492306
multi_association_mapping,Multi-map,48,0.001390968007085003,0.9987484646196765,0.23615137866688346
multi_association_mapping,Multi-map,49,0.0012515353803234373,0.9999999999999999,0.22400281729068863
multi_association_mapping,Multi-map,50,2.1027930672640472e-32,0.9999999999999999,9.18184977692874e-16
overlapping_shared_input_association,Shared input,1,0.09413633068674514,0.09413633068674514,2.651143517717918
overlapping_shared_input_association,Shared input,2,0.08070624760243496,0.1748425782891801,2.4547551695094545
overlapping_shared_input_association,Shared input,3,0.07095976463691026,0.24580234292609035,2.3017634455380214
overlapping_shared_input_association,Shared input,4,0.06215419655220693,0.30795653947829726,2.1542189105537095
overlapping_shared_input_association,Shared input,5,0.059880825799895246,0.3678373652781925,2.1144552392316145
overlapping_shared_input_association,Shared input,6,0.04746007789270306,0.41529744317089556,1.8824299712835508
overlapping_shared_input_association,Shared input,7,0.04318909176584334,0.4584865349367389,1.7957324933776964
overlapping_shared_input_association,Shared input,8,0.040940356587893766,0.49942689152463265,1.7483582052245799
overlapping_shared_input_association,Shared input,9,0.040332895230590735,0.5397597867552234,1.735338909902001
overlapping_shared_input_association,Shared input,10,0.034841902712080375,0.5746016894673038,1.612892927076941
overlapping_shared_input_association,Shared input,11,0.03384393534745282,0.6084456248147566,1.5896262797272425
overlapping_shared_input_association,Shared input,12,0.02869501639573617,0.6371406412104927,1.4637194512317042
overlapping_shared_input_association,Shared input,13,0.0268127952447898,0.6639534364552826,1.4148996899354762
overlapping_shared_input_association,Shared input,14,0.024864925635326805,0.6888183620906094,1.3625366342897343
overlapping_shared_input_association,Shared input,15,0.02374750212342991,0.7125658642140393,1.3315686850166286
overlapping_shared_input_association,Shared input,16,0.021949186511302433,0.7345150507253417,1.280158723471825
overlapping_shared_input_association,Shared input,17,0.021187163987033315,0.7557022147123751,1.257740424335255
overlapping_shared_input_association,Shared input,18,0.019300469532482684,0.7750026842448577,1.2004347056389038
overlapping_shared_input_association,Shared input,19,0.01739066560965663,0.7923933498545144,1.1394957449547802
overlapping_shared_input_association,Shared input,20,0.01675124070613322,0.8091445905606476,1.1183509092491264
overlapping_shared_input_association,Shared input,21,0.015885568032282898,0.8250301585929305,1.089070464000535
overlapping_shared_input_association,Shared input,22,0.015148726249089337,0.8401788848420199,1.0635126606191916
overlapping_shared_input_association,Shared input,23,0.014255298928767472,0.8544341837707873,1.031674675203056
overlapping_shared_input_association,Shared input,24,0.012947610517184361,0.8673817942879717,0.9832170904258567
overlapping_shared_input_association,Shared input,25,0.012278535349294992,0.8796603296372667,0.9574759805983254
overlapping_shared_input_association,Shared input,26,0.010212522014460917,0.8898728516517276,0.8732148412523792
overlapping_shared_input_association,Shared input,27,0.010013198090752927,0.8998860497424805,0.8646513213478081
overlapping_shared_input_association,Shared input,28,0.009666055441047176,0.9095521051835277,0.8495310297815246
overlapping_shared_input_association,Shared input,29,0.009137341494385385,0.9186894466779131,0.8259704946499865
overlapping_shared_input_association,Shared input,30,0.008593987986039275,0.9272834346639524,0.8010358933331725
overlapping_shared_input_association,Shared input,31,0.00751701965604753,0.9348004543199999,0.7491649464870572
overlapping_shared_input_association,Shared input,32,0.006727709620847212,0.9415281639408472,0.7087420896440472
overlapping_shared_input_association,Shared input,33,0.006618192818831076,0.9481463567596782,0.7029498030221254
overlapping_shared_input_association,Shared input,34,0.006058735258766277,0.9542050920184445,0.672582547112059
overlapping_shared_input_association,Shared input,35,0.005287004854915773,0.9594920968733602,0.6282890057069792
overlapping_shared_input_association,Shared input,36,0.0049849580748827765,0.964477054948243,0.6100779949559945
overlapping_shared_input_association,Shared input,37,0.00471095441395134,0.9691880093621943,0.593074233775126
overlapping_shared_input_association,Shared input,38,0.004662435319099102,0.9738504446812934,0.5900122321618644
overlapping_shared_input_association,Shared input,39,0.004000527701754167,0.9778509723830476,0.5465290441466273
overlapping_shared_input_association,Shared input,40,0.003222940412666793,0.9810739127957144,0.4905471350286832
overlapping_shared_input_association,Shared input,41,0.003031185943013425,0.9841050987387279,0.47573038926530303
overlapping_shared_input_association,Shared input,42,0.0025236944894803334,0.9866287932282082,0.43408321727387933
overlapping_shared_input_association,Shared input,43,0.002448870815584649,0.9890776640437928,0.4275998491522222
overlapping_shared_input_association,Shared input,44,0.0024323150062486266,0.9915099790500415,0.4261519844586017
overlapping_shared_input_association,Shared input,45,0.0021384343524923325,0.9936484134025337,0.3995789182141524
overlapping_shared_input_association,Shared input,46,0.001955705637441881,0.9956041190399756,0.3821257898132444
overlapping_shared_input_association,Shared input,47,0.0016373167325020698,0.9972414357724777,0.34963987444208317
overlapping_shared_input_association,Shared input,48,0.0014128398469755781,0.9986542756194534,0.32478882125576586
overlapping_shared_input_association,Shared input,49,0.0013457243805467018,1.0000000000000002,0.3169805873953635
overlapping_shared_input_association,Shared input,50,1.856511775993257e-32,1.0000000000000002,1.1773442299824657e-15
overlapping_shared_target_association,Shared target,1,0.1307750290440944,0.1307750290440944,1.6160960023140405
overlapping_shared_target_association,Shared target,2,0.11934476534714561,0.25011979439124,1.543854723384958
overlapping_shared_target_association,Shared target,3,0.10275760059872119,0.3528773949899612,1.4325563723161472
overlapping_shared_target_association,Shared target,4,0.07808664239969025,0.43096403738965144,1.2488006555144473
overlapping_shared_target_association,Shared target,5,0.07242749527333889,0.5033915326629903,1.202697689412654
overlapping_shared_target_association,Shared target,6,0.06463910316306597,0.5680306358260563,1.136193772258378
overlapping_shared_target_association,Shared target,7,0.05596762027953413,0.6239982561055905,1.0572389726956761
overlapping_shared_target_association,Shared target,8,0.04437803904384574,0.6683762951494361,0.9414316555971767
overlapping_shared_target_association,Shared target,9,0.037517381989923146,0.7058936771393592,0.8656074905714585
overlapping_shared_target_association,Shared target,10,0.0296576200394829,0.7355512971788422,0.7696138803985886
overlapping_shared_target_association,Shared target,11,0.025941451104041387,0.7614927482828835,0.7197834825254548
overlapping_shared_target_association,Shared target,12,0.023944291794773212,0.7854370400776567,0.6915215864936668
overlapping_shared_target_association,Shared target,13,0.02189605651468953,0.8073330965923462,0.6612835144772532
overlapping_shared_target_association,Shared target,14,0.019178953923560352,0.8265120505159066,0.6188953237783126
overlapping_shared_target_association,Shared target,15,0.01813697495634203,0.8446490254722486,0.6018484828004463
overlapping_shared_target_association,Shared target,16,0.0173588209360201,0.8620078464082689,0.5887960055041521
overlapping_shared_target_association,Shared target,17,0.015201390033588294,0.8772092364418572,0.5509933971235296
overlapping_shared_target_association,Shared target,18,0.013954568294899456,0.8911638047367567,0.5279137164364903
overlapping_shared_target_association,Shared target,19,0.01227987586190098,0.9034436805986577,0.49522405467432534
overlapping_shared_target_association,Shared target,20,0.010996755354341347,0.914440435952999,0.46863748654283466
overlapping_shared_target_association,Shared target,21,0.010320991102840845,0.9247614270558397,0.4540100277190116
overlapping_shared_target_association,Shared target,22,0.008686169155755928,0.9334475962115957,0.41650372004200786
overlapping_shared_target_association,Shared target,23,0.007449119286411616,0.9408967154980072,0.38570672211826035
overlapping_shared_target_association,Shared target,24,0.007057822580299831,0.9479545380783072,0.37543962880339127
overlapping_shared_target_association,Shared target,25,0.006569061113228528,0.9545235991915357,0.3622066290948766
overlapping_shared_target_association,Shared target,26,0.0052940754040692985,0.9598176745956051,0.3251620139307803
overlapping_shared_target_association,Shared target,27,0.005099855826545979,0.964917530422151,0.319141801884009
overlapping_shared_target_association,Shared target,28,0.004736022171062472,0.9696535525932135,0.30754707916249746
overlapping_shared_target_association,Shared target,29,0.0037889774962547892,0.9734425300894683,0.2750842695380081
overlapping_shared_target_association,Shared target,30,0.00359602382710606,0.9770385539165745,0.26798841723641714
overlapping_shared_target_association,Shared target,31,0.0031984020563326477,0.980236955972907,0.25273842304095245
overlapping_shared_target_association,Shared target,32,0.002831222736950641,0.9830681787098576,0.23778900086124435
overlapping_shared_target_association,Shared target,33,0.0025445102589869897,0.9856126889688446,0.22542747496866808
overlapping_shared_target_association,Shared target,34,0.0022346119122225888,0.9878473008810672,0.2112544170174203
overlapping_shared_target_association,Shared target,35,0.0017690195891578483,0.9896163204702251,0.18796243581324856
overlapping_shared_target_association,Shared target,36,0.0016259896325294136,0.9912423101027545,0.18020366915514535
overlapping_shared_target_association,Shared target,37,0.0015005787880068317,0.9927428888907613,0.17311477869887995
overlapping_shared_target_association,Shared target,38,0.001299052456832961,0.9940419413475943,0.1610712717469515
