task,task_label,seed_i,seed_j,cosine,angle_deg
conditioned_electrode_association,Association,2,48,0.8133435858789435,35.57609286238425
conditioned_electrode_association,Association,2,49,0.7755719672361614,39.14308209122267
conditioned_electrode_association,Association,2,50,0.7961751983321795,37.23360258604402
conditioned_electrode_association,Association,3,4,0.8134729506560299,35.563350654399024
conditioned_electrode_association,Association,3,5,0.9655765726926849,15.07712194201867
conditioned_electrode_association,Association,3,6,0.9415882165227959,19.679989685093638
conditioned_electrode_association,Association,3,7,0.9323810242400021,21.190931736571212
conditioned_electrode_association,Association,3,8,0.9726584337133983,13.429005363948036
conditioned_electrode_association,Association,3,9,0.7902280457062928,37.79317217341429
conditioned_electrode_association,Association,3,10,0.8653693522717835,30.075092754873154
conditioned_electrode_association,Association,3,11,0.9069292800278387,24.915608792571728
conditioned_electrode_association,Association,3,12,0.9593120981293477,16.40038077723938
conditioned_electrode_association,Association,3,13,0.8153066697105814,35.382304013296974
conditioned_electrode_association,Association,3,14,0.9589566078165196,16.472365463555665
conditioned_electrode_association,Association,3,15,0.9706185100340781,13.92334755933984
conditioned_electrode_association,Association,3,16,0.9294527717286876,21.650327819551467
conditioned_electrode_association,Association,3,17,0.9136485132903136,23.985478724605777
conditioned_electrode_association,Association,3,18,0.9174866602653731,23.438628778587603
conditioned_electrode_association,Association,3,19,0.9310211506789556,21.405442736050144
conditioned_electrode_association,Association,3,20,0.8120037496622907,35.70783228971977
conditioned_electrode_association,Association,3,21,0.8463720527537557,32.18076067052597
conditioned_electrode_association,Association,3,22,0.860028819401021,30.68018111456871
conditioned_electrode_association,Association,3,23,0.9071704337595802,24.882790902732424
conditioned_electrode_association,Association,3,24,0.9333788839784191,21.032199000225575
conditioned_electrode_association,Association,3,25,0.9272896710412804,21.983809792811414
conditioned_electrode_association,Association,3,26,0.9361892603917797,20.57886457075339
conditioned_electrode_association,Association,3,27,0.9150535294644387,23.786669914745147
conditioned_electrode_association,Association,3,28,0.9349875337018869,20.773868968298295
conditioned_electrode_association,Association,3,29,0.9269877863166716,22.02996908451018
conditioned_electrode_association,Association,3,30,0.9385882670993138,20.184190054056604
conditioned_electrode_association,Association,3,31,0.9652414879318215,15.150754642194011
conditioned_electrode_association,Association,3,32,0.8427318990039002,32.570264189285474
conditioned_electrode_association,Association,3,33,0.8830343101556125,27.98941491060979
conditioned_electrode_association,Association,3,34,0.9273764450523033,21.970524672352834
conditioned_electrode_association,Association,3,35,0.9184680685411308,23.296858353799788
conditioned_electrode_association,Association,3,36,0.9143298916876756,23.88925867160325
conditioned_electrode_association,Association,3,37,0.833723780748418,33.51681754600809
conditioned_electrode_association,Association,3,38,0.9707168471596622,13.899912806433546
conditioned_electrode_association,Association,3,39,0.8235275020347903,34.56051466611447
conditioned_electrode_association,Association,3,40,0.9500409729652289,18.187352570847782
conditioned_electrode_association,Association,3,41,0.8780224223958042,28.5952781406992
conditioned_electrode_association,Association,3,42,0.9556155618599182,17.134544078058834
conditioned_electrode_association,Association,3,43,0.8991095643163024,25.958730835786763
conditioned_electrode_association,Association,3,44,0.9350543773700353,20.76306823047175
conditioned_electrode_association,Association,3,45,0.9641694781459774,15.384009881724733
conditioned_electrode_association,Association,3,46,0.9517334831023201,17.874055406464223
conditioned_electrode_association,Association,3,47,0.9233460580348065,22.57973844941838
conditioned_electrode_association,Association,3,48,0.9022321184512285,25.54696173202883
conditioned_electrode_association,Association,3,49,0.9034157953629358,25.38924460823903
conditioned_electrode_association,Association,3,50,0.9031497955588522,25.424766862617453
conditioned_electrode_association,Association,4,5,0.8159787635251796,35.315744926443465
conditioned_electrode_association,Association,4,6,0.8095959112557571,35.94353037563224
conditioned_electrode_association,Association,4,7,0.8011993795351693,36.75521222115729
conditioned_electrode_association,Association,4,8,0.8214161699701089,34.77318991287094
conditioned_electrode_association,Association,4,9,0.9356837703189583,20.66110497871645
conditioned_electrode_association,Association,4,10,0.7547444423556354,40.996955282915785
conditioned_electrode_association,Association,4,11,0.7842486432264028,38.34875974692449
conditioned_electrode_association,Association,4,12,0.7854839549557704,38.234539644154985
conditioned_electrode_association,Association,4,13,0.6885635218932962,46.48349352731558
conditioned_electrode_association,Association,4,14,0.8038000910305435,36.505467927697374
conditioned_electrode_association,Association,4,15,0.8088428358248938,36.01697306305416
conditioned_electrode_association,Association,4,16,0.7793855921314066,38.795644829320445
conditioned_electrode_association,Association,4,17,0.7616028984290559,40.39428963340114
