probe,condition,control_mode,protocol_id,seed,beta,schedule,spatial_mode,duration_s,current_uA,pulse_width_us,total_pulses,initial_trials,initial_response_probability,initial_reached_criterion,weight_erasure,path_erasure,residual_trace_correlation,post_behavior,trained_delta_norm,post_delta_norm,post_minus_trained_norm,baseline_weight_norm,reset_window_neuron_spikes,post_readout_neuron_spikes,homeostasis_rate,homeostasis_interval_ms,consolidation_s,consolidation_spikes,consolidation_weight_change_norm
consolidation_delay,rest_30s,reset,low_burden_0.75s,1,2.0,epoch_pause,independent,0.75,0.8,160,23,16,0.875,True,-1.8391838541020888e-07,1.4282738325377409e-09,0.9999999718447855,0.5,503.93405703930364,503.93414972304174,0.05422081711822533,197.84471483464534,882,1804,0.012,100.0,30.0,36110,483.87559377920553
consolidation_delay,rest_30s,no_reset,low_burden_0.75s,1,2.0,epoch_pause,independent,0.75,0.8,160,0,16,0.875,True,-1.8391838541020888e-07,1.4282738325377409e-09,0.9999999718447855,0.5,503.93405703930364,503.93414972304174,0.05422081711822533,197.84471483464534,882,1804,0.012,100.0,30.0,36110,483.87559377920553
consolidation_delay,rest_30s,reset,mid_burden_1.5s,1,0.0,static,shared,1.5,0.8,160,451,16,0.875,True,-2.1746565148639263e-07,1.4282738325377409e-09,0.9999999718058451,0.375,503.93405703930364,503.93416662865167,0.05425832610515283,197.84471483464534,1761,1788,0.012,100.0,30.0,36110,483.87559377920553
consolidation_delay,rest_30s,no_reset,mid_burden_1.5s,1,0.0,static,shared,1.5,0.8,160,0,16,0.875,True,-2.1746565148639263e-07,1.4282738325377409e-09,0.9999999718058451,0.375,503.93405703930364,503.93416662865167,0.05425832610515283,197.84471483464534,1761,1788,0.012,100.0,30.0,36110,483.87559377920553
consolidation_delay,rest_30s,reset,high_burden_3s,1,-2.0,static,shared,3.0,2.6,160,1563,16,0.875,True,-7.747558106174779e-08,1.4282738325377409e-09,0.9999999678152501,0.5,503.93405703930364,503.93409608288755,0.05797112799345655,197.84471483464534,3549,1836,0.012,100.0,30.0,36110,483.87559377920553
consolidation_delay,rest_30s,no_reset,high_burden_3s,1,-2.0,static,shared,3.0,2.6,160,0,16,0.875,True,-7.747558106174779e-08,1.4282738325377409e-09,0.9999999678152501,0.5,503.93405703930364,503.93409608288755,0.05797112799345655,197.84471483464534,3549,1836,0.012,100.0,30.0,36110,483.87559377920553
consolidation_delay,rest_30s,reset,low_burden_0.75s,3,2.0,epoch_pause,independent,0.75,0.8,160,13,48,0.875,True,2.8964112774865214e-08,1.4289247562970786e-09,0.9999999795630825,0.625,501.63872899254136,501.6387144640206,0.04679550214636148,198.90535604574396,885,1808,0.012,100.0,30.0,35617,433.53100696556317
consolidation_delay,rest_30s,no_reset,low_burden_0.75s,3,2.0,epoch_pause,independent,0.75,0.8,160,0,48,0.875,True,2.8964112774865214e-08,1.4289247562970786e-09,0.9999999795630825,0.625,501.63872899254136,501.6387144640206,0.04679550214636148,198.90535604574396,885,1808,0.012,100.0,30.0,35617,433.53100696556317
consolidation_delay,rest_30s,reset,mid_burden_1.5s,3,0.0,static,shared,1.5,0.8,160,514,48,0.875,True,4.6165671430120625e-07,1.4289247562970786e-09,0.9999999687051709,0.625,501.63872899254136,501.63849740865396,0.05790768100466272,198.90535604574396,1795,1795,0.012,100.0,30.0,35617,433.53100696556317
consolidation_delay,rest_30s,no_reset,mid_burden_1.5s,3,0.0,static,shared,1.5,0.8,160,0,48,0.875,True,4.6165671430120625e-07,1.4289247562970786e-09,0.9999999687051709,0.625,501.63872899254136,501.63849740865396,0.05790768100466272,198.90535604574396,1795,1795,0.012,100.0,30.0,35617,433.53100696556317
